feature,mean_abs_shap
outdoor_ADD_centered,3.059263
outdoor_ADD_log,1.3539355
ADD_indoor_outdoor_ratio,0.46983942
ADD_indoor_minus_outdoor,0.2664893
environment_outdoor_uncaged,0.16196004
CLR_taxon_3187,0.1479835
CLR_taxon_4700,0.1152533
LOG_taxon_4700,0.11030595
CLR_taxon_4022,0.097415164
LOG_taxon_3187,0.08169272
CLR_taxon_290,0.063076906
CLR_taxon_3178,0.062262632
CLR_taxon_82,0.06201882
LOG_taxon_4022,0.061388347
LOG_taxon_777,0.058852572
LOG_taxon_3178,0.057912253
indoor_ADD_centered,0.049298037
CLR_taxon_3202,0.046354067
CLR_taxon_3306,0.044733513
CLR_taxon_4692,0.039803006
LOG_taxon_3202,0.038275264
LOG_taxon_290,0.036762595
LOG_taxon_3252,0.033086292
LOG_taxon_147,0.032948706
LOG_taxon_4692,0.0329305
CLR_taxon_11,0.026714006
LOG_taxon_3207,0.026683543
CLR_taxon_777,0.026588453
CLR_taxon_12835,0.025352541
LOG_taxon_3306,0.02442632
LOG_taxon_3151,0.024287626
CLR_taxon_97,0.024276674
CLR_taxon_388,0.022191092
CLR_taxon_3304,0.020756813
LOG_taxon_3320,0.020596879
CLR_taxon_3252,0.02058955
CLR_taxon_7635,0.020381808
CLR_taxon_3151,0.019534899
CLR_taxon_6711,0.018511025
LOG_taxon_3277,0.017481068
LOG_taxon_3192,0.016318189
CLR_taxon_4696,0.015654257
CLR_taxon_3291,0.015363342
LOG_taxon_7336,0.014857783
LOG_taxon_7635,0.014795993
LOG_taxon_4826,0.014103681
CLR_taxon_3277,0.014063967
CLR_taxon_4713,0.013917821
CLR_taxon_4685,0.013437035
CLR_taxon_3146,0.013309127
CLR_taxon_60,0.012864465
LOG_taxon_11,0.01220991
CLR_taxon_3192,0.012100784
CLR_taxon_8238,0.011785073
CLR_taxon_7338,0.01147136
LOG_taxon_3146,0.011411783
LOG_taxon_6711,0.011266728
CLR_taxon_3309,0.010991808
CLR_taxon_3467,0.01090507
LOG_taxon_4885,0.010759319
LOG_taxon_3203,0.010700548
LOG_taxon_388,0.010554782
CLR_taxon_7594,0.0105262995
LOG_taxon_20747,0.010121936
LOG_taxon_4693,0.010066287
CLR_taxon_157,0.010014689
indoor_ADD_log,0.009900268
CLR_taxon_107,0.0094960425
LOG_taxon_4697,0.009056761
CLR_taxon_6084,0.008936267
LOG_taxon_7354,0.008436211
indoor_ADD_squared,0.008181351
LOG_taxon_3179,0.008106078
LOG_taxon_82,0.008089794
LOG_taxon_7338,0.007968733
CLR_taxon_3183,0.0076885796
CLR_taxon_7530,0.007561129
LOG_taxon_3291,0.0075557097
CLR_taxon_12719,0.007514592
LOG_taxon_3467,0.007453275
LOG_taxon_3189,0.0073512266
CLR_taxon_3822,0.0073154815
LOG_taxon_4825,0.007259806
CLR_taxon_4740,0.007213561
CLR_taxon_4825,0.0071455184
LOG_taxon_6417,0.0069053452
CLR_taxon_3274,0.0068380195
LOG_taxon_189,0.006729869
LOG_taxon_3183,0.0064478535
CLR_taxon_9025,0.0064416677
CLR_taxon_7334,0.00643446
CLR_taxon_147,0.0063729067
CLR_taxon_4736,0.0063046045
LOG_taxon_7530,0.0063040648
LOG_taxon_97,0.006238936
LOG_taxon_3177,0.006145548
LOG_taxon_4232,0.0060805157
CLR_taxon_3213,0.005917724
CLR_taxon_3199,0.0059083127
LOG_taxon_55,0.005885474
LOG_taxon_4696,0.0056737927
LOG_taxon_7234,0.0056488807
CLR_taxon_20747,0.0056312624
CLR_taxon_6133,0.005541085
LOG_taxon_78,0.005538616
LOG_taxon_2337,0.00550544
LOG_taxon_670,0.0054632872
LOG_taxon_12835,0.005311264
LOG_taxon_3184,0.005268425
LOG_taxon_8238,0.005175572
CLR_taxon_4842,0.005059836
CLR_taxon_9189,0.004927272
CLR_taxon_3205,0.004823618
CLR_taxon_4640,0.004776657
CLR_taxon_3425,0.004757322
LOG_taxon_3793,0.0047339774
CLR_taxon_3185,0.0047167013
CLR_taxon_3326,0.0047123716
CLR_taxon_3220,0.0046059815
CLR_taxon_7336,0.0045623197
LOG_taxon_7629,0.0045592682
CLR_taxon_3222,0.0045515965
CLR_taxon_4885,0.0044450406
CLR_taxon_6742,0.004402173
top5_abundance,0.0043587554
CLR_taxon_3203,0.004275819
CLR_taxon_3208,0.004265381
LOG_taxon_4701,0.004233945
CLR_taxon_1121,0.004192985
CLR_taxon_3182,0.00413367
LOG_taxon_3180,0.0041280333
LOG_taxon_4713,0.0041242107
simpson,0.0041148732
LOG_taxon_6133,0.0040950123
CLR_taxon_3193,0.004045515
CLR_taxon_6454,0.0039883824
CLR_taxon_3312,0.0039612777
LOG_taxon_7351,0.0039223796
environment_indoor,0.0038636196
CLR_taxon_9214,0.0038621048
LOG_taxon_3213,0.0038434677
CLR_taxon_7360,0.003809325
CLR_taxon_4826,0.0038040944
CLR_taxon_3180,0.0037536654
LOG_taxon_3312,0.0036896705
CLR_taxon_4693,0.003660427
CLR_taxon_3184,0.0036570204
LOG_taxon_139,0.0036546825
CLR_taxon_7350,0.0035967354
CLR_taxon_4699,0.003560781
CLR_taxon_4701,0.0034644266
CLR_taxon_69,0.0033843645
CLR_taxon_287,0.003356265
CLR_taxon_4697,0.0033428748
CLR_taxon_3308,0.0033336715
LOG_taxon_7334,0.0032662812
CLR_taxon_7354,0.0032631033
CLR_taxon_5879,0.0032356102
CLR_taxon_171,0.0032296816
CLR_taxon_3188,0.0032294507
CLR_taxon_3189,0.00319116
CLR_taxon_1612,0.00319066
LOG_taxon_3190,0.0031797988
LOG_taxon_4740,0.0031689361
CLR_taxon_670,0.00316582
LOG_taxon_3309,0.003116323
CLR_taxon_7234,0.0029873287
CLR_taxon_7629,0.0029632128
top3_abundance,0.0029497372
LOG_taxon_8255,0.0029300107
LOG_taxon_1612,0.0029150469
CLR_taxon_3292,0.0028997036
evenness,0.002896987
LOG_taxon_0,0.0028781598
LOG_taxon_6719,0.0028273512
LOG_taxon_3482,0.002807341
CLR_taxon_229,0.0028026043
LOG_taxon_3191,0.0027996022
CLR_taxon_3206,0.0027477383
CLR_taxon_7362,0.002737386
CLR_taxon_0,0.0027030618
CLR_taxon_282,0.0026741456
CLR_taxon_7361,0.0026617558
CLR_taxon_1295,0.0026132483
CLR_taxon_3243,0.0025923066
CLR_taxon_3177,0.0025530844
LOG_taxon_122,0.0025482723
CLR_taxon_3793,0.0025370847
CLR_taxon_10717,0.0025344198
CLR_taxon_3226,0.0025062
CLR_taxon_3305,0.0025001513
LOG_taxon_7350,0.00245338
LOG_taxon_6709,0.0024278522
CLR_taxon_3317,0.002418226
CLR_taxon_3307,0.002405662
CLR_taxon_8749,0.002403217
CLR_taxon_5375,0.0023917211
CLR_taxon_139,0.0023698765
shannon,0.0023662273
LOG_taxon_3228,0.0023633465
LOG_taxon_3232,0.0023412458
CLR_taxon_3190,0.0023380718
CLR_taxon_3320,0.0023283686
CLR_taxon_4232,0.0023277532
CLR_taxon_9229,0.002317609
LOG_taxon_3220,0.0023069403
LOG_taxon_3304,0.0023058609
LOG_taxon_256,0.0022961122
LOG_taxon_3205,0.0022547378
CLR_taxon_3296,0.0022504707
LOG_taxon_3274,0.0022485557
LOG_taxon_7625,0.002203258
LOG_taxon_3226,0.0021946789
CLR_taxon_3200,0.0021905408
CLR_taxon_4813,0.0021709006
LOG_taxon_8749,0.002168863
CLR_taxon_6570,0.002129115
LOG_taxon_3227,0.0021180115
body_site_unknown,0.0021148336
CLR_taxon_10031,0.0020991943
LOG_taxon_3216,0.0020827532
CLR_taxon_3318,0.002047532
LOG_taxon_9025,0.0020417972
LOG_taxon_3307,0.0020255425
CLR_taxon_7625,0.0020151488
CLR_taxon_3313,0.0019747086
LOG_taxon_3296,0.0019682595
LOG_taxon_16,0.0019487919
CLR_taxon_4748,0.0019361073
LOG_taxon_229,0.001934471
CLR_taxon_3227,0.0018698466
CLR_taxon_1495,0.0018697222
CLR_taxon_4718,0.0018451532
LOG_taxon_282,0.0018357204
LOG_taxon_3305,0.0018238503
CLR_taxon_7397,0.001806185
CLR_taxon_3181,0.0017858541
LOG_taxon_60,0.0017697016
LOG_taxon_9214,0.0017642716
CLR_taxon_592,0.0017553584
LOG_taxon_3256,0.0017478314
LOG_taxon_3182,0.0017309652
CLR_taxon_2723,0.0017290557
CLR_taxon_5786,0.0017280101
CLR_taxon_6717,0.0017273721
LOG_taxon_69,0.0017250731
CLR_taxon_7417,0.0017179484
LOG_taxon_2330,0.0016841235
CLR_taxon_3224,0.0016779902
CLR_taxon_13587,0.0016624761
CLR_taxon_9242,0.0016563146
LOG_taxon_416,0.0016305507
LOG_taxon_4737,0.001627682
CLR_taxon_3341,0.0016138433
CLR_taxon_2,0.0015992556
CLR_taxon_8255,0.0015958477
CLR_taxon_3197,0.0015841649
CLR_taxon_5378,0.00158272
CLR_taxon_40,0.001580476
CLR_taxon_7333,0.0015780282
CLR_taxon_6215,0.0015755306
CLR_taxon_3191,0.0015614949
CLR_taxon_42,0.0015612688
CLR_taxon_445,0.0015576029
LOG_taxon_3199,0.0015526823
LOG_taxon_12719,0.0015396652
CLR_taxon_3332,0.0015390432
CLR_taxon_3207,0.0015311247
CLR_taxon_1147,0.0015246632
LOG_taxon_3317,0.0015151978
LOG_taxon_3193,0.0015081231
LOG_taxon_3208,0.0015024006
CLR_taxon_7436,0.0015009164
CLR_taxon_2706,0.0015003942
LOG_taxon_7335,0.001483857
LOG_taxon_8761,0.0014669228
LOG_taxon_6454,0.0014598875
CLR_taxon_3198,0.0014543851
CLR_taxon_8844,0.001445444
CLR_taxon_2708,0.0014419359
LOG_taxon_6084,0.0014191585
CLR_taxon_4737,0.0014149598
CLR_taxon_6709,0.0014143786
CLR_taxon_3223,0.0014072023
CLR_taxon_1555,0.0014067095
CLR_taxon_2867,0.0014063285
LOG_taxon_7445,0.0013932763
CLR_taxon_2975,0.0013823996
CLR_taxon_9237,0.0013756095
CLR_taxon_530,0.0013651408
CLR_taxon_7437,0.0013626054
CLR_taxon_10010,0.0013625341
LOG_taxon_7585,0.0013607662
LOG_taxon_8844,0.001358928
CLR_taxon_9989,0.0013559532
LOG_taxon_171,0.0013515092
CLR_taxon_7588,0.0013511252
CLR_taxon_3228,0.0013498707
CLR_taxon_7445,0.0013323779
CLR_taxon_3179,0.0013204499
CLR_taxon_9029,0.0012882359
CLR_taxon_5494,0.0012839556
CLR_taxon_9132,0.0012823979
CLR_taxon_5005,0.0012764253
LOG_taxon_5303,0.001269265
CLR_taxon_3215,0.0012672873
LOG_taxon_51,0.0012523758
CLR_taxon_199,0.001229304
CLR_taxon_491,0.0012265763
CLR_taxon_3275,0.0012219917
LOG_taxon_3200,0.0012191595
CLR_taxon_16,0.0012170246
LOG_taxon_10032,0.0012123225
CLR_taxon_3270,0.0012094119
CLR_taxon_21,0.0012026853
CLR_taxon_8745,0.0011964277
dominance,0.0011962297
LOG_taxon_3188,0.0011912583
environment_outdoor_caged,0.0011907368
CLR_taxon_2343,0.0011907307
LOG_taxon_393,0.0011850515
CLR_taxon_50,0.0011807006
CLR_taxon_381,0.0011780572
LOG_taxon_3270,0.0011730619
LOG_taxon_8769,0.0011600954
LOG_taxon_3185,0.0011540136
LOG_taxon_8591,0.0011493296
CLR_taxon_3256,0.001147036
LOG_taxon_3243,0.0011457303
CLR_taxon_543,0.0011427039
LOG_taxon_4,0.001139408
CLR_taxon_3194,0.0011204875
LOG_taxon_307,0.001114083
CLR_taxon_4980,0.0011134732
LOG_taxon_21,0.00111029
CLR_taxon_2337,0.0011042219
LOG_taxon_322,0.0010977086
LOG_taxon_3251,0.0010960904
CLR_taxon_1,0.0010872835
CLR_taxon_1200,0.0010850326
LOG_taxon_7594,0.0010847148
CLR_taxon_7586,0.0010839824
CLR_taxon_7527,0.0010754688
CLR_taxon_750,0.0010594211
LOG_taxon_33,0.0010586415
LOG_taxon_50,0.0010556955
CLR_taxon_7585,0.0010504896
CLR_taxon_212,0.001043786
CLR_taxon_416,0.0010432923
top10_abundance,0.0010368072
LOG_taxon_3,0.0010213614
LOG_taxon_3273,0.0010104685
LOG_taxon_4717,0.0010090558
CLR_taxon_189,0.0010082345
CLR_taxon_165,0.0010076623
CLR_taxon_4717,0.0010049739
CLR_taxon_3934,0.0010020768
CLR_taxon_867,0.0009860833
richness,0.0009825143
CLR_taxon_7335,0.0009805895
CLR_taxon_156,0.0009799107
CLR_taxon_6014,0.00097633165
CLR_taxon_739,0.00097126374
CLR_taxon_132,0.0009494241
CLR_taxon_4733,0.00094699877
CLR_taxon_15,0.00094326836
top1_abundance,0.0009398051
LOG_taxon_3222,0.00093220454
CLR_taxon_256,0.00093112024
CLR_taxon_8744,0.000923992
LOG_taxon_9405,0.0009201334
CLR_taxon_3941,0.0009182037
LOG_taxon_3425,0.00091329444
LOG_taxon_3211,0.0009049049
LOG_taxon_10031,0.0009015755
LOG_taxon_7222,0.0008931568
LOG_taxon_5005,0.0008908458
CLR_taxon_7439,0.0008722503
CLR_taxon_9405,0.0008713551
CLR_taxon_3216,0.00085976324
LOG_taxon_595,0.0008509944
CLR_taxon_3218,0.00084685377
CLR_taxon_6719,0.0008462409
CLR_taxon_3236,0.0008450235
LOG_taxon_5879,0.0008429074
LOG_taxon_4827,0.0008403645
CLR_taxon_3239,0.0008281034
LOG_taxon_13574,0.00082597777
CLR_taxon_8591,0.0008211483
CLR_taxon_7380,0.0008169604
LOG_taxon_1495,0.0008130544
CLR_taxon_3211,0.00080485665
LOG_taxon_31,0.0007946157
CLR_taxon_9240,0.0007904306
CLR_taxon_699,0.0007872412
CLR_taxon_6073,0.0007849667
CLR_taxon_195,0.0007835382
CLR_taxon_197,0.00077960733
LOG_taxon_7358,0.00077933987
CLR_taxon_4815,0.0007719031
LOG_taxon_13587,0.00076917803
LOG_taxon_14,0.0007690994
CLR_taxon_3619,0.0007671509
CLR_taxon_3276,0.0007669605
LOG_taxon_4718,0.000766931
LOG_taxon_3292,0.0007633607
LOG_taxon_21073,0.0007619744
CLR_taxon_277,0.0007604379
LOG_taxon_15,0.0007603894
CLR_taxon_226,0.0007595782
LOG_taxon_320,0.00075937685
CLR_taxon_4122,0.00075446937
CLR_taxon_917,0.00075050426
CLR_taxon_10,0.0007453074
CLR_taxon_3349,0.0007448105
CLR_taxon_3266,0.0007415619
LOG_taxon_2723,0.00074062834
LOG_taxon_208,0.0007372253
CLR_taxon_541,0.00073626323
LOG_taxon_6171,0.00073023856
LOG_taxon_3313,0.0007296719
LOG_taxon_3341,0.00072380307
CLR_taxon_48,0.00072261435
LOG_taxon_3266,0.00072164705
LOG_taxon_4703,0.00071978604
CLR_taxon_9168,0.00071559736
CLR_taxon_75,0.0007148068
CLR_taxon_15779,0.0007124571
CLR_taxon_5303,0.0007098559
CLR_taxon_602,0.00070638984
CLR_taxon_7222,0.0007024729
CLR_taxon_260,0.00069571467
CLR_taxon_7396,0.000695309
CLR_taxon_4744,0.0006948992
CLR_taxon_6644,0.0006924405
CLR_taxon_7358,0.0006907065
CLR_taxon_3253,0.00068198424
LOG_taxon_543,0.0006791214
CLR_taxon_6019,0.00067807053
CLR_taxon_3235,0.0006779625
CLR_taxon_6522,0.00067731837
LOG_taxon_287,0.00067454734
LOG_taxon_280,0.0006704721
CLR_taxon_3273,0.00066723523
CLR_taxon_852,0.0006639617
CLR_taxon_2491,0.0006629474
LOG_taxon_3822,0.0006624571
CLR_taxon_9938,0.00065949175
CLR_taxon_3284,0.00065935106
CLR_taxon_349,0.0006566768
CLR_taxon_6414,0.00065559376
CLR_taxon_6,0.00065457035
LOG_taxon_3276,0.00065102434
LOG_taxon_3181,0.0006495408
LOG_taxon_522,0.00064910564
CLR_taxon_5427,0.00064893614
CLR_taxon_307,0.0006484139
LOG_taxon_3331,0.00063908834
CLR_taxon_98,0.00063380215
CLR_taxon_31,0.0006327867
CLR_taxon_1842,0.00062754104
CLR_taxon_4703,0.000624873
CLR_taxon_8,0.00061598077
CLR_taxon_232,0.0006133764
LOG_taxon_165,0.00060445024
LOG_taxon_107,0.0006042147
CLR_taxon_3478,0.0006018823
LOG_taxon_123,0.0005995086
CLR_taxon_177,0.00059709075
LOG_taxon_6742,0.00059708295
CLR_taxon_3,0.00059681846
LOG_taxon_7588,0.00058546837
CLR_taxon_100,0.0005798209
LOG_taxon_53,0.0005791373
CLR_taxon_3569,0.000578692
LOG_taxon_2491,0.0005766225
CLR_taxon_119,0.0005730991
CLR_taxon_3248,0.0005657906
LOG_taxon_7397,0.0005644551
CLR_taxon_74,0.0005605505
CLR_taxon_9271,0.000557787
CLR_taxon_6171,0.00055722636
CLR_taxon_4827,0.0005486438
LOG_taxon_4699,0.0005468944
LOG_taxon_396,0.0005440999
LOG_taxon_3934,0.0005406259
CLR_taxon_289,0.00053849485
LOG_taxon_7360,0.0005378193
CLR_taxon_218,0.0005322239
CLR_taxon_47,0.0005315798
LOG_taxon_752,0.0005283905
CLR_taxon_78,0.00052582286
LOG_taxon_3197,0.00052511506
LOG_taxon_3224,0.00052455656
CLR_taxon_6210,0.000524152
CLR_taxon_4,0.00051900675
LOG_taxon_9989,0.00051619776
LOG_taxon_6717,0.00051193585
CLR_taxon_3225,0.000510897
LOG_taxon_4685,0.0005054377
CLR_taxon_4991,0.00050489936
LOG_taxon_8744,0.0005037116
LOG_taxon_3272,0.0005003518
LOG_taxon_3308,0.00049891864
LOG_taxon_200,0.0004946702
CLR_taxon_1905,0.0004943281
LOG_taxon_145,0.00049204275
LOG_taxon_4748,0.0004891309
LOG_taxon_25,0.00048580725
CLR_taxon_582,0.00048263898
CLR_taxon_1149,0.0004815191
LOG_taxon_7362,0.00048080838
LOG_taxon_337,0.0004771619
CLR_taxon_30,0.00047554696
CLR_taxon_114,0.0004743954
LOG_taxon_6019,0.00047400853
LOG_taxon_3223,0.00047178572
CLR_taxon_25,0.00047151218
LOG_taxon_4733,0.000466886
CLR_taxon_7479,0.00046682745
LOG_taxon_5378,0.00046418016
LOG_taxon_3332,0.00046374495
LOG_taxon_3275,0.00045976337
CLR_taxon_51,0.0004551249
CLR_taxon_216,0.00045368855
CLR_taxon_322,0.000453649
CLR_taxon_514,0.00045034196
LOG_taxon_214,0.00044654746
CLR_taxon_3329,0.00044623192
CLR_taxon_7444,0.00044569367
LOG_taxon_156,0.0004452626
CLR_taxon_6779,0.00044223265
LOG_taxon_7437,0.00044120644
CLR_taxon_1312,0.00043816402
CLR_taxon_13,0.00043655475
LOG_taxon_3215,0.0004360446
CLR_taxon_7347,0.0004356134
CLR_taxon_14,0.00043422382
LOG_taxon_3820,0.00043111792
LOG_taxon_65,0.0004310988
CLR_taxon_320,0.0004306673
CLR_taxon_58,0.00042875926
LOG_taxon_3236,0.0004285025
CLR_taxon_1082,0.00042357916
CLR_taxon_7349,0.0004235229
CLR_taxon_9205,0.0004198403
CLR_taxon_13713,0.00041768243
LOG_taxon_8,0.00041424818
LOG_taxon_381,0.00041152257
CLR_taxon_3251,0.00041027815
CLR_taxon_135,0.0004099922
CLR_taxon_4381,0.0004095524
CLR_taxon_140,0.0004090728
CLR_taxon_393,0.00040822307
CLR_taxon_4735,0.00040741308
LOG_taxon_4828,0.00040733282
LOG_taxon_3941,0.0004066281
CLR_taxon_9151,0.00040601607
CLR_taxon_143,0.00040418273
CLR_taxon_214,0.00040408515
CLR_taxon_5180,0.0004034697
CLR_taxon_6067,0.00040232012
LOG_taxon_691,0.0004005108
LOG_taxon_9241,0.00039918686
LOG_taxon_3206,0.0003975306
LOG_taxon_6,0.00039568363
CLR_taxon_1249,0.0003921275
CLR_taxon_4702,0.0003903161
CLR_taxon_1055,0.0003884135
LOG_taxon_5686,0.00038698106
LOG_taxon_1149,0.00038650728
LOG_taxon_4842,0.000384934
LOG_taxon_140,0.00038191673
CLR_taxon_804,0.0003803312
CLR_taxon_2447,0.00037999012
CLR_taxon_4714,0.00037907393
CLR_taxon_390,0.00037787514
CLR_taxon_252,0.0003760627
CLR_taxon_76,0.0003754678
LOG_taxon_3253,0.0003751686
CLR_taxon_137,0.00037442925
CLR_taxon_4694,0.00037413894
CLR_taxon_752,0.00037392607
LOG_taxon_212,0.00037209035
CLR_taxon_8769,0.00036952467
LOG_taxon_1147,0.00036746266
CLR_taxon_65,0.00036718298
CLR_taxon_34,0.00036577234
CLR_taxon_223,0.0003655138
CLR_taxon_7388,0.00036541032
LOG_taxon_75,0.0003649496
CLR_taxon_782,0.00036454582
LOG_taxon_4640,0.00036310623
LOG_taxon_266,0.0003631053
CLR_taxon_142,0.00036236458
CLR_taxon_3356,0.00036233402
CLR_taxon_6417,0.000362016
LOG_taxon_7361,0.00036100976
LOG_taxon_119,0.0003600918
CLR_taxon_3366,0.00035899066
CLR_taxon_33,0.00035828847
LOG_taxon_6014,0.0003576415
CLR_taxon_1585,0.00035682076
CLR_taxon_2812,0.00035677277
CLR_taxon_925,0.00035601118
LOG_taxon_7527,0.00035506245
CLR_taxon_3232,0.00035302338
CLR_taxon_244,0.00035288872
CLR_taxon_6668,0.0003509068
CLR_taxon_138,0.00035068125
