feature,mean_abs_shap
Hardy_death_scale,108.681335
Gene_SLED1,29.392656
Degrader_84_minus_Stable_807,25.483664
Gene_RASGRF1,13.069552
Degrader_631_minus_Stable_807,9.221714
Gene_RP11-352D13.6,8.53263
Gene_RN7SKP51,8.255669
Gene_AC011899.9,7.2599096
Degrader_mean,6.8032017
Gene_RP11-138H8.6,6.643854
Degrader_1289_minus_Stable_1386,6.4516783
Gene_HKDC1,5.8570204
Gene_HIST1H1E,5.7555456
Gene_CSF2,5.0271072
Gene_HSPA6,4.564018
Degrader_1177_minus_Stable_807,4.5488505
Gene_CTD-2376I4.1,4.415386
Gene_RNASE2,4.1306977
Gene_PLA2G4F,4.0922837
Gene_RP11-291I6.2,4.018785
Gene_HIST1H1D,3.9213703
Gene_AC005550.3,3.7090151
Degrader_28_minus_Stable_1178,3.6643393
Gene_MESTP1,3.569643
Gene_RP11-16K12.1,3.4992163
Gene_MGAM2,3.3740776
Degrader_177_minus_Stable_1178,3.20197
Gene_OTC,3.1794493
Gene_RP11-262H14.3,2.8915076
Degrader_33_minus_Stable_807,2.617951
Gene_METTL7B,2.5731893
Degrader_317_minus_Stable_528,2.5126684
Gene_ANKRD34B,2.4637418
Degrader_631_minus_Stable_644,2.4281652
Gene_BNC1,2.3950622
Gene_RP11-2B6.2,2.3751793
Gene_RP11-430H12.2,2.172821
Gene_CTD-2306A12.1,1.925119
Degrader_631_minus_Stable_1186,1.9202266
Degrader_160_minus_Stable_807,1.8851074
Degrader_447_minus_Stable_766,1.8750473
RIN_div_Autolysis_plus_1,1.8724326
Degrader_156_minus_Stable_1495,1.7869172
Gene_UTS2,1.7120434
Degrader_1328_minus_Stable_530,1.7015686
Gene_GUCY1B2,1.6882511
Gene_AP000350.5,1.6741765
Degrader_353_minus_Stable_431,1.5650593
Degrader_410_minus_Stable_982,1.540385
Degrader_493_minus_Stable_807,1.5101411
Gene_RP11-89H19.2,1.4885873
Gene_CFTR,1.4839603
Degrader_888_minus_Stable_1186,1.4835494
Gene_GGT2,1.4391032
Degrader_631_minus_Stable_766,1.3865277
Gene_CCL4L2,1.3466029
Gene_C9orf152,1.3434836
Gene_RPS15AP30,1.3051369
Degrader_177_minus_Stable_1386,1.2892288
Degrader_631_minus_Stable_1413,1.2599348
Degrader_893_minus_Stable_807,1.231088
Gene_RP1-187B23.1,1.2221775
Degrader_631_minus_Stable_816,1.2167976
Gene_AC017060.1,1.1636882
Degrader_155_minus_Stable_588,1.1545955
Gene_OR2I1P,1.1338152
Degrader_425_minus_Stable_1178,1.1203411
Gene_MT-TE,1.0891738
Gene_MTND1P23,1.0482606
Degrader_337_minus_Stable_807,1.0443959
Gene_ADORA3,1.0394337
Degrader_631_minus_Stable_528,1.0274588
Gene_LEMD1,0.9838857
Gene_TCL1A,0.96900177
Gene_NIPAL4,0.9487363
Degrader_613_minus_Stable_528,0.9422959
Gene_HHIP,0.940856
Gene_SLC46A2,0.9403192
Gene_GPR15,0.92361027
Degrader_714_minus_Stable_530,0.8964971
Degrader_447_minus_Stable_807,0.8768219
Gene_OLFM4,0.8689861
Gene_ALKAL1,0.8617562
Degrader_227_minus_Stable_1186,0.86058164
Degrader_976_minus_Stable_530,0.85238093
Degrader_888_minus_Stable_1178,0.833555
Degrader_156_minus_Stable_807,0.81076443
Gene_TOX3,0.79449075
Gene_U2AF1L5,0.78851223
Degrader_42_minus_Stable_816,0.78371656
Gene_DPCR1,0.78336835
Degrader_84_minus_Stable_816,0.769368
Degrader_337_minus_Stable_1178,0.7544602
Degrader_733_minus_Stable_584,0.74975854
Degrader_250_minus_Stable_1386,0.7478477
Degrader_456_minus_Stable_1178,0.74523526
Degrader_218_minus_Stable_644,0.7440959
Degrader_42_minus_Stable_807,0.74136245
Gene_HBM,0.74049646
Gene_LL22NC03-N95F10.1,0.7363737
Degrader_631_minus_Stable_982,0.7353139
Degrader_156_minus_Stable_860,0.7317067
Gene_MMP3,0.7315021
Gene_LY6G6F,0.71815854
Ratio_std,0.7039111
Gene_PGLYRP4,0.70160514
Degrader_493_minus_Stable_1186,0.6963987
Degrader_227_minus_Stable_644,0.69621205
Gene_SELE,0.68105257
Degrader_156_minus_Stable_1413,0.67281914
Degrader_30_minus_Stable_807,0.668106
Gene_ADIPOQ,0.6661063
Degrader_177_minus_Stable_807,0.66223645
Degrader_888_minus_Stable_807,0.6531591
Gene_IGKV1-17,0.65272105
Gene_RP11-77A13.1,0.6524464
Gene_BPI,0.64413613
Degrader_631_minus_Stable_1178,0.6367707
Degrader_218_minus_Stable_807,0.63494784
Gene_CD207,0.6310623
Gene_KIF20A,0.60792774
Degrader_631_minus_Stable_1044,0.60054743
Gene_RP11-545A16.3,0.58813983
Degrader_492_minus_Stable_807,0.5871986
Degrader_1328_minus_Stable_1178,0.58437127
Degrader_1112_minus_Stable_807,0.57963276
Degrader_28_minus_Stable_860,0.57047474
Gene_GRM8,0.5684595
Degrader_543_minus_Stable_807,0.5501423
Gene_HBA2,0.5497453
Degrader_543_minus_Stable_1186,0.54945105
Degrader_322_minus_Stable_901,0.5477831
Gene_VIT,0.54195213
Degrader_28_minus_Stable_807,0.5395688
Gene_LINC00642,0.5393089
Gene_EDN2,0.53748333
Degrader_631_minus_Stable_1043,0.53086275
Degrader_631_minus_Stable_530,0.5296271
Gene_MT1G,0.5214764
Degrader_809_minus_Stable_778,0.5197494
Gene_AGR2,0.5188911
Degrader_1476_minus_Stable_807,0.5175967
Gene_CCDC190,0.5110977
Gene_RPL29P14,0.50232387
Gene_TTTY15,0.4922443
Gene_BTG4,0.49208137
Gene_AC079630.2,0.49140492
Degrader_155_minus_Stable_1044,0.48959237
Gene_FBN3,0.481351
Gene_HIST3H2BB,0.47989193
Gene_LY6G6E,0.47973004
Gene_GBA3,0.4793592
Degrader_84_minus_Stable_982,0.46880364
Degrader_1215_minus_Stable_431,0.46860802
Degrader_156_minus_Stable_1178,0.46127692
Gene_RP11-373D23.2,0.45914534
Gene_ANKRD20A7P,0.45731282
Degrader_1289_minus_Stable_584,0.4505717
Degrader_1476_minus_Stable_1386,0.44955686
Gene_FOSB,0.44559193
Gene_PF4,0.44490162
Gene_LINC00689,0.44419515
Gene_RD3,0.4438366
Degrader_493_minus_Stable_1495,0.44365832
Gene_SPTA1,0.44068038
Degrader_421_minus_Stable_588,0.43549478
Degrader_1289_minus_Stable_528,0.43325096
Gene_SNORD3C,0.43184164
Gene_SFTPA1,0.42642456
Gene_FFAR4,0.425572
Degrader_421_minus_Stable_860,0.4252479
Gene_IRX6,0.41434023
Degrader_70_minus_Stable_982,0.41367567
Degrader_632_minus_Stable_766,0.412424
Gene_MUC6,0.4121968
Gene_IGKV5-2,0.40956104
Degrader_1134_minus_Stable_644,0.4080992
Degrader_447_minus_Stable_530,0.406638
Degrader_308_minus_Stable_955,0.4033491
Degrader_70_minus_Stable_1066,0.3993687
Gene_SPRR3,0.39799953
Degrader_33_minus_Stable_860,0.39533153
Gene_CHRNA1,0.39392492
Gene_RGPD2,0.39360982
Gene_HIST1H2BH,0.39050716
Gene_CHST4,0.39024183
Gene_IFNG,0.38822368
Degrader_447_minus_Stable_1464,0.38621554
Gene_TDGF1,0.38501582
Gene_ARHGEF38-IT1,0.3838623
Gene_RAD17P1,0.38275096
Degrader_108_minus_Stable_1178,0.38223863
Degrader_613_minus_Stable_860,0.38172016
Gene_MFAP5,0.38124573
Gene_RP11-22C11.2,0.38047168
Gene_RP11-283G6.4,0.37998977
Degrader_408_minus_Stable_807,0.3775703
Degrader_839_minus_Stable_807,0.37193063
Degrader_714_minus_Stable_982,0.37047762
Degrader_1215_minus_Stable_1043,0.3682443
Gene_C6orf223,0.3681086
Gene_MMP8,0.36802885
Gene_RP11-299H22.3,0.36665177
Degrader_1289_minus_Stable_1258,0.3639842
Gene_CCL8,0.361816
Degrader_598_minus_Stable_1178,0.36159056
RIN,0.35870972
Degrader_733_minus_Stable_807,0.35511845
Gene_SLC30A8,0.3546639
Degrader_921_minus_Stable_644,0.35450462
Gene_HOXC5,0.35449937
Degrader_1177_minus_Stable_982,0.35444072
Gene_RP11-676J12.6,0.3537727
Gene_ORM2,0.35034853
Gene_XIRP2,0.34270108
Degrader_353_minus_Stable_588,0.3422626
Degrader_1112_minus_Stable_1043,0.34147626
Degrader_135_minus_Stable_903,0.33485535
Gene_AC004947.2,0.3342081
Degrader_362_minus_Stable_766,0.33384958
Degrader_28_minus_Stable_766,0.33219394
Gene_ALPP,0.33071667
Gene_GRM7,0.32936114
Gene_CD300LG,0.32818696
Degrader_353_minus_Stable_1178,0.32766396
Degrader_447_minus_Stable_1043,0.3272631
Degrader_631_minus_Stable_1258,0.32419112
Gene_KCNE1B,0.32328928
Gene_IGHG3,0.32121423
Degrader_135_minus_Stable_807,0.31925622
Degrader_30_minus_Stable_1386,0.3188624
Gene_CPXM1,0.31617022
Degrader_322_minus_Stable_528,0.31584728
Degrader_631_minus_Stable_584,0.3155511
