feature,mean_abs_shap
Hardy_death_scale,141.37363
Gene_SNORD3A,28.400356
Gene_SNORD3C,16.259071
Gene_ACSL6,15.956272
Gene_NR0B2,10.256647
Gene_PIK3IP1-AS1,7.7798834
Degrader_1324_minus_Stable_1246,4.6329427
Gene_ADAMTS9-AS1,4.4746222
Gene_AC009542.2,4.3005905
Gene_LEP,4.1300683
Gene_APLN,3.8863273
Gene_SULT1B1,3.7156649
Gene_RND1,3.589003
Gene_AC005550.3,3.074474
Gene_DDN,2.6696026
Gene_PDE4B,2.6459303
Gene_ADIPOQ,2.578467
Degrader_403_minus_Stable_1356,2.3351061
Gene_CTD-2651B20.3,2.3134928
Gene_PPP1R1C,2.3090262
Gene_HABP2,2.2426333
Gene_FAM184B,2.2156112
Gene_PRSS44,2.209065
Gene_TAC3,1.8457338
Gene_ADAMTS4,1.7683828
Gene_ICOSLG,1.7552282
Gene_MPZL2,1.7281473
Degrader_1324_minus_Stable_1356,1.6991682
Degrader_934_minus_Stable_213,1.6429442
Degrader_1286_minus_Stable_658,1.6386257
Degrader_554_minus_Stable_101,1.5464745
Gene_BRINP2,1.5013446
Gene_PSCA,1.4884303
Gene_NLGN4Y,1.4713326
Degrader_1286_minus_Stable_548,1.4677391
Gene_LINC00521,1.465041
Degrader_1353_minus_Stable_213,1.4181509
Gene_MMP9,1.4132799
Degrader_1028_minus_Stable_548,1.3827723
Gene_PTX3,1.3786281
Degrader_741_minus_Stable_240,1.3598657
Gene_GALNTL6,1.3346776
Gene_USP6,1.3307766
Gene_CTC-224D3.1,1.3199905
Gene_RP11-845C23.2,1.2870052
Degrader_1286_minus_Stable_1491,1.284749
Gene_ASIP,1.2753689
Gene_CXCL1,1.2409062
Gene_SPAM1,1.2101493
RIN_div_Autolysis_plus_1,1.2080929
Gene_LRRIQ3,1.1924045
Gene_CXCL8,1.1802027
Ratio_max,1.1556065
Degrader_1324_minus_Stable_101,1.1507194
Gene_ATP13A4,1.1123654
Degrader_1286_minus_Stable_1246,1.0455424
Gene_CYP4F11,1.0336092
Gene_RP11-20I23.13,1.0324076
Gene_MDFI,1.0221783
Gene_RP11-186F10.2,1.0185038
Degrader_602_minus_Stable_359,1.0146378
Gene_IGHM,1.0117656
Degrader_1324_minus_Stable_766,1.0095828
Gene_IL13,1.0039127
Gene_PRSS42,0.98872924
Gene_RP11-1016B18.1,0.98609793
Gene_FDCSP,0.9812169
Degrader_573_minus_Stable_658,0.9743743
Degrader_855_minus_Stable_101,0.9661443
Degrader_482_minus_Stable_1356,0.9529792
Degrader_554_minus_Stable_548,0.94957215
Degrader_447_minus_Stable_213,0.9359706
Degrader_1286_minus_Stable_213,0.9247289
Gene_HPSE2,0.91527313
Gene_IGHG1,0.88896316
Gene_RP11-172H24.4,0.8770883
Gene_TMEM132B,0.87441516
Gene_LINC00707,0.8724872
Degrader_434_minus_Stable_55,0.84698087
Degrader_926_minus_Stable_213,0.8429321
Gene_AHRR,0.8400644
Gene_RP11-755O11.2,0.83986527
Gene_LRRC55,0.8371913
Degrader_802_minus_Stable_1246,0.8115929
Degrader_125_minus_Stable_256,0.79315984
Gene_OR7E53P,0.7872973
Gene_GKN1,0.78620607
Gene_EXTL1,0.77616733
Gene_SIM1,0.7750735
Gene_FOXQ1,0.766035
Gene_SPP1,0.7590879
Gene_RBP4,0.7507366
Gene_SFRP2,0.75052744
Degrader_12_minus_Stable_1356,0.73209023
Gene_DUSP15,0.7294031
Gene_HK2,0.72489965
Degrader_1324_minus_Stable_1065,0.71762735
Degrader_554_minus_Stable_119,0.7125995
Gene_RP11-678G14.3,0.7078453
Degrader_573_minus_Stable_548,0.68156356
Degrader_855_minus_Stable_27,0.6784879
Gene_LINC00202-1,0.6770353
Degrader_1324_minus_Stable_548,0.6749504
Degrader_602_minus_Stable_548,0.6696495
Degrader_1324_minus_Stable_240,0.66661376
Gene_MMRN1,0.6626376
Gene_LINC00473,0.66001314
Gene_LINC02188,0.6551187
Degrader_934_minus_Stable_1065,0.65268356
Gene_ZSCAN10,0.63768506
Degrader_15_minus_Stable_101,0.6223662
Degrader_444_minus_Stable_1356,0.589042
