feature,mean_abs_shap
Hardy_death_scale,134.07161
Gene_SNORD3B-2,28.5753
Degrader_mean,12.378596
Gene_HIST1H2BG,11.903457
Gene_SULT1B1,9.098359
Gene_RP11-160E2.6,8.535094
Degrader_247_minus_Stable_1235,7.1336794
Gene_RP6-99M1.3,6.376054
Gene_SNORD3C,5.0562544
Gene_C4BPA,4.9930334
Gene_MTND1P23,4.9496856
Ratio_mean,4.7885346
Gene_LIPE,4.6958814
Degrader_459_minus_Stable_1422,3.610464
Gene_HIST1H2AE,3.3057294
Degrader_55_minus_Stable_1235,2.8839347
RIN_div_Autolysis_plus_1,2.8741078
Gene_RP11-357D18.1,2.695125
Degrader_399_minus_Stable_244,2.529376
Gene_PCOLCE2,2.3400722
Degrader_55_minus_Stable_19,2.1514654
Gene_GYG2,2.13231
Gene_RGPD2,2.1020947
Gene_PMS2P2,2.082401
Gene_MMP1,1.9534994
Gene_RNASE2,1.9368715
Gene_RP11-83M16.5,1.9007246
Degrader_891_minus_Stable_1235,1.8856598
Degrader_765_minus_Stable_1235,1.7933476
Gene_MYPN,1.6545929
Gene_SAA1,1.6076103
Gene_FOXQ1,1.6064808
Gene_HERC2P4,1.5716373
Gene_NPPB,1.5262464
Gene_HOXD11,1.5041624
Degrader_55_minus_Stable_1220,1.4393951
Degrader_507_minus_Stable_1235,1.3926587
Gene_TNNI3,1.3878057
Gene_WNT9B,1.3574308
Gene_TRAV8-5,1.3147635
Gene_USP32P1,1.3045447
Degrader_511_minus_Stable_1235,1.277729
Degrader_510_minus_Stable_1235,1.2537478
Degrader_720_minus_Stable_102,1.2418034
Gene_CCL13,1.2065424
Gene_SERTM1,1.1779418
Degrader_511_minus_Stable_776,1.1681664
Degrader_55_minus_Stable_871,1.1336843
Gene_FAM90A20P,1.1276397
Degrader_124_minus_Stable_19,1.1154581
Gene_RHAG,1.11094
Degrader_123_minus_Stable_1429,1.102468
Degrader_957_minus_Stable_1235,1.0949149
Gene_HAMP,1.0256002
Gene_COL19A1,1.0076432
Gene_CTD-3128G10.7,0.9991801
Gene_C1QL1,0.9627187
Gene_GPD1,0.9600931
Degrader_1444_minus_Stable_1235,0.9447175
Gene_LINC01736,0.94421494
Gene_IL1RAPL2,0.9313689
Degrader_619_minus_Stable_1235,0.8920715
Degrader_1168_minus_Stable_1235,0.88925487
Degrader_507_minus_Stable_278,0.8810993
Gene_LEP,0.87980807
Degrader_1486_minus_Stable_19,0.8744604
Gene_MMP12,0.86600393
Gene_IGHV3-48,0.86140597
Gene_LCNL1,0.85115755
Degrader_55_minus_Stable_244,0.8426022
Degrader_616_minus_Stable_1220,0.8292739
Gene_GPAA1P1,0.82485753
Degrader_1492_minus_Stable_871,0.8170254
Degrader_399_minus_Stable_19,0.8150607
Gene_FGF4,0.81402785
Degrader_510_minus_Stable_1429,0.81241477
Degrader_511_minus_Stable_871,0.8076231
Gene_MUC5AC,0.8069106
Gene_ANGPTL8,0.8003151
Gene_PRSS3,0.7985436
Gene_MYBPC2,0.7960071
Degrader_955_minus_Stable_249,0.79525155
Gene_RP11-20I23.13,0.79083025
Gene_RP11-578B16.1,0.7799518
Degrader_245_minus_Stable_1235,0.7704652
Gene_RRM2,0.7571614
Degrader_891_minus_Stable_776,0.75691575
Degrader_1150_minus_Stable_1220,0.7473607
Gene_CXCL1,0.73842424
Gene_SNORD3A,0.73437464
Gene_CTD-3116E22.8,0.7304733
Gene_RP11-576C2.1,0.72003186
Gene_CCL4L2,0.7143605
Gene_OTOA,0.713835
Gene_SOX3,0.7060467
Degrader_124_minus_Stable_244,0.7026544
Gene_KLK6,0.6941546
Gene_AC053503.12,0.6925341
Gene_RP11-116D17.3,0.69050825
Degrader_978_minus_Stable_102,0.6842139
Gene_KPRP,0.68362474
Gene_SFTPC,0.68101466
Degrader_124_minus_Stable_1235,0.6809059
Degrader_510_minus_Stable_1220,0.67494184
Gene_SLN,0.6598129
Degrader_247_minus_Stable_249,0.6523124
Degrader_957_minus_Stable_365,0.6484392
Gene_MYH1,0.6456808
Gene_RP3-340N1.2,0.64541656
Degrader_510_minus_Stable_1422,0.6450953
Degrader_1444_minus_Stable_109,0.635202
Gene_CALML5,0.63456583
Gene_ANXA8,0.6281251
Degrader_1444_minus_Stable_797,0.62565213
Gene_IYD,0.6223445
Degrader_510_minus_Stable_871,0.61729723
