feature,mean_abs_shap
Hardy_death_scale,137.87323
Gene_RP11-160E2.6,49.965885
Gene_SNORD3B-2,36.411118
Gene_AC005550.3,9.551056
Degrader_mean,6.496819
Gene_RP11-386I14.4,5.6157594
Gene_RP11-115J16.1,5.339088
Gene_PTGS2,5.017235
Gene_HIST1H1D,4.7379465
RIN_x_Autolysis,4.4356866
Gene_FOS,3.6594093
Gene_FUT5,3.112048
Gene_RP5-897D18.1,2.898411
Gene_EEF1GP2,2.6137524
Gene_RP11-536I6.2,2.4428775
Gene_FOSB,2.1432211
Gene_IDO1,1.9885963
Gene_AADACL2-AS1,1.8448719
Degrader_1481_minus_Stable_1260,1.78903
Degrader_1382_minus_Stable_407,1.7297299
Gene_HIST1H2BF,1.7228669
Degrader_253_minus_Stable_1083,1.707583
Gene_CXCL8,1.6585296
Gene_EDN2,1.6324637
Degrader_232_minus_Stable_1252,1.6283917
Degrader_232_minus_Stable_1238,1.5944118
Gene_SCARNA7,1.5736377
Gene_PAX6,1.5194324
Degrader_232_minus_Stable_169,1.4199598
Gene_RP11-3L21.2,1.416698
Gene_AC024560.2,1.4161973
Gene_OOEP,1.3595501
Gene_AC069363.1,1.3252522
Degrader_1231_minus_Stable_407,1.3171623
Gene_ODF3L1,1.2298349
Gene_SLC10A2,1.2060673
Gene_RP11-115D19.1,1.1650318
Degrader_493_minus_Stable_1282,1.1310645
Gene_PLA2G2A,1.1153741
Degrader_1277_minus_Stable_287,1.0949789
Gene_SFTPB,1.0817446
Gene_LGALS7,1.0671903
Gene_KPRP,1.0548949
Degrader_1382_minus_Stable_1260,0.98178166
Gene_SEC14L6,0.9705417
Degrader_320_minus_Stable_169,0.9576553
Gene_C2CD4B,0.9511822
Gene_RPTN,0.94562197
Gene_CCR3,0.93943
Degrader_441_minus_Stable_666,0.9282558
RIN_div_Autolysis_plus_1,0.9203527
Degrader_995_minus_Stable_553,0.9057063
Gene_SLC7A10,0.89264673
Gene_CH507-513H4.5,0.88806266
Gene_PSG4,0.88646007
Gene_FOXN4,0.8755068
Degrader_736_minus_Stable_416,0.8697075
Degrader_433_minus_Stable_626,0.8664898
Degrader_123_minus_Stable_1252,0.85084367
Gene_RP11-83M16.5,0.81381434
Degrader_1202_minus_Stable_145,0.8010052
Degrader_211_minus_Stable_287,0.8008938
Degrader_190_minus_Stable_1238,0.7960886
Degrader_123_minus_Stable_287,0.78723305
Degrader_1295_minus_Stable_1077,0.7807607
Gene_KC6,0.75465685
Degrader_123_minus_Stable_1065,0.7523062
Gene_CEL,0.74441755
Gene_CD180,0.7361378
Degrader_1382_minus_Stable_1282,0.73534405
Gene_GABBR2,0.7336937
Degrader_123_minus_Stable_856,0.73338914
Degrader_499_minus_Stable_407,0.71322924
Degrader_68_minus_Stable_323,0.70755446
Gene_PMS2P6,0.6993319
Gene_DNAH8,0.69825053
Gene_CH17-469D17.1,0.677346
Degrader_1382_minus_Stable_439,0.6723322
Gene_GPD1,0.67175627
Gene_SLC44A5,0.6691601
Gene_ROCK1P1,0.66531295
Gene_SNORD3A,0.6621994
Gene_CTRB2,0.6619893
Gene_WFDC3,0.6524165
Gene_RP11-613E4.4,0.6417756
Gene_XIRP1,0.6364602
Gene_SPX,0.63375276
Gene_MT1M,0.6228943
Gene_AGR3,0.6198342
Gene_RP11-308D13.3,0.6193035
